0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,7,0,7,0,0,6,2,4,5,2,5,5,1,0,119131378.88336831,0.0020546234377575127,78700687.4512126,0.0002935532853123365,93063996.50592437,0.0,33745944.65249044,0.0,66294113.011456475,0.0,317500000.0,501.00016437999255
1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,7,5,0,4,1,0,5,5,7,4,0,1,0.0,0.0,151171460.1845935,0.00018347080332021032,49622725.1402255,0.0,44119312.844942994,0.0,62015940.60605301,0.0,960600000.0,55.641272081240174
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,3,0,0,0,5,3,4,3,1,0,0,0,8,1,7,6,0.0,0.0,220898731.62750906,0.0018412068703872082,46650169.32145682,0.0,16108916.742160894,0.0,123434666.40105549,0.0,575500000.0,911.3746464425649
1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3,3,5,3,10,1,6,5,0,0,2,5,3,2,0,0,157322016.4407137,0.0,248620832.54172355,0.0,28798397.130608946,0.0,29865163.41970277,0.0,27578229.96765524,0.0,916200000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,5,3,3,4,0,3,6,0,8,10,7,4,83497824.69174261,0.0,251282879.29277784,0.0048046466664861,59344284.398757964,0.0006872816397312133,32293439.297215313,0.0,179108857.50083014,0.0,0.0,1603.0161402134245
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,6,2,1,0,2,0,4,1,7,6,0.0,0.0,1095422623.381904,0.14102333805110617,73334839.29403147,0.009149658711369245,17701182.393370774,0.0,123434666.40105549,0.0,205800000.0,13117.736213302804
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,6,3,1,0,7,0,1,2,0,0,0,2,0,0,157526865.96009347,0.0,1263987176.0970573,0.16311291955109802,43224599.14167526,0.0,806332.7737571292,7.687487451657481e-05,33845145.11773011,0.0009866895858682636,538900000.0,15385.665228472382
0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,5,0,0,2,6,1,1,0,0,3,0,1,0,3,53972506.18695759,0.0,1091487553.8364558,0.1388266641166378,46391755.03846283,0.0015594641249991388,8453407.696608048,0.0,56425877.743436806,0.0,869900000.0,13046.267094291057
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,7,0,3,6,2,0,4,2,7,5,1,7,98043050.03325048,0.0,164666913.57136524,0.001696562387338864,58517988.01954745,0.0,35529111.17179745,0.0,120358626.4040231,0.0,0.0,788.91131845329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,1,0,5,2,0,5,2,4,2,0,4,77099991.75787257,0.0,2236612663.775095,0.10517530481295825,55021520.85615872,0.0,32008148.391127184,0.0,63275368.490582086,0.0,0.0,59905.716470404775
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,6,0,1,0,1,0,1,3,1,2,0,0,136851315.59679127,0.0,182467231.39360112,0.011345542424719905,654292537.3978288,0.18970146087205064,22293117.310156107,0.0,27578229.96765524,0.0,84600000.0,7529.8097258919515
