0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,3,4,0,2,0,6,9,0,0,0,6,0,10,89068254.21950817,0.0,102336429.85235605,0.0,123443750.85931814,0.03627691210773759,4365236.315478808,0.0012397359905485716,291847577.8008865,0.0775313668079462,321100000.0,0.0
0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,3,7,0,2,1,6,6,1,0,0,9,0,10,42291505.65437629,0.0,127487673.07826531,0.0,104724180.35986975,0.010480866086429948,10477683.927273927,0.0011523152781550926,166449976.65628564,0.015281446576895948,607900000.0,0.0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,5,4,3,0,7,0,7,1,1,7,4,6,32694901.094161935,0.0,187265982.79420322,0.0,76587083.99499442,0.004353229452928511,30528580.36230105,0.0,188478729.2953086,0.002270357617014579,236500000.0,2197.535204247104
1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,3,0,2,2,0,1,0,0,3,1,4,1,5,5,4,5,77099991.75787257,0.0,57511376.19521778,0.0010558694471490267,46650169.32145682,0.0,30018899.7545425,0.0,157730910.86249346,0.0016098889748825706,881000000.0,1479.4635177568591
1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,2,0,0,1,0,2,0,2,3,6,5,0,3,7,4,6,32694901.094161935,0.0,49273476.88043609,0.0004443174822939632,85190627.71842328,0.0,21068617.1353041,0.0,144703237.59680128,0.0,636900000.0,132.97047798199822
1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,3,2,2,1,3,5,3,2,0,0,7,1,2,6,3,5,114498063.14503726,0.0,176150639.31065077,0.0,22167818.198803753,0.0,31851732.358506463,0.0,140466748.23685855,0.0007001222799605936,1354900000.0,400.9731529919566
0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2,7,0,2,2,0,0,0,3,2,6,2,10,7,5,1,115272862.040791,0.0,62529852.140076675,0.0013788571796915115,60897993.7291719,0.0015611662218243125,48226955.76796037,0.0,176007569.4496163,0.0031293453458944766,267200000.0,1759.1863796962384
0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,3,0,5,2,7,1,7,0,0,2,0,3,7,6,4,6,98043050.03325048,0.0,217627170.58040905,0.0,22167818.198803753,0.0,26056003.355880715,5.655033410464465e-05,150897355.1366265,0.0007001222799605936,929600000.0,458.5981672284884
1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,3,3,2,1,0,6,2,3,0,1,5,0,2,6,3,5,122173820.17753592,0.0,124849463.81657721,0.0003519564823830089,46650169.32145682,0.0,19742157.81013341,0.0,127031768.3983773,0.0,1572700000.0,164.5967743317155
0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,3,5,2,0,2,0,0,0,2,1,1,4,6,5,2,150732551.41528624,0.0,77619345.79843852,0.015757708763183186,34231735.47710475,0.01022736687024055,23226689.948099688,0.0,125052388.92051786,0.0,898900000.0,0.0
0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,7,6,3,5,0,0,0,3,0,2,0,2,1,7,0,210412756.01456407,0.0,59410102.93073928,0.0,36406058.09267818,0.0015673768026609413,15173808.632728375,0.0,730069673.997977,0.040457834758512945,1517400000.0,17336.930234591262
0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,3,2,5,0,3,0,1,0,2,4,1,4,7,4,5,147343878.22871023,0.0,54264784.31091802,0.0029329706865250742,43224599.14167526,0.0,28394046.033258095,0.0,139497823.77407175,0.0,711800000.0,0.0
0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3,3,7,6,0,0,6,0,1,1,0,3,5,7,2,6,202621123.7507406,0.0,78889272.9357407,0.0007039129647660178,41292219.28177295,0.0,20696082.48629594,0.0,133578837.06897146,0.0,1147400000.0,329.193548663431
0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,3,0,0,4,1,0,3,3,4,6,0,1,0,7,3,5,47847947.961454235,0.0,100962534.52419867,0.0007458830061919581,93126191.87773517,0.0,6320800.309666242,0.0,133916207.93441162,0.0,831600000.0,336.38742960976447
0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,3,0,0,2,1,0,0,2,2,6,1,2,6,7,5,2,193652020.432985,0.006364664928987179,44815600.77462368,0.0003676952479177364,81792030.41691214,0.0,27824743.928069547,0.0,131869191.36615518,0.0,694800000.0,1376.8723319468468
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,4,1,7,0,0,1,1,5,4,6,32694901.094161935,0.0,120330960.74353677,0.006419712752975749,98701732.8414011,0.037271207323684795,12857587.774250694,0.0,286732178.38470584,0.06652571800497127,595100000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,4,0,2,0,6,4,5,0,0,2,7,3,3,119252509.8856793,0.0,104825845.57609382,0.028317992552244015,103998319.23120488,0.0,7332080.219521779,0.0,125065178.98441488,0.0,377300000.0,0.0
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,6,3,0,0,4,0,7,3,4,1,4,6,3,1,157526865.96009347,0.0,97514222.63094096,0.01999753659552389,64835987.44502628,0.0,28394046.033258095,0.0,111282385.23650354,0.0,394300000.0,0.0
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,1,1,0,5,0,4,0,0,0,3,3,5,72222705.9376919,0.0,113860362.3584002,0.016873395443381855,60031921.43603267,0.0,0.0,0.0,531361339.31366646,0.17668284105456372,851200000.0,0.0
0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,6,7,3,0,0,0,7,1,7,0,5,0,0,3,144075745.84278923,0.0,47842699.56310011,0.0,72111470.16142131,0.010449178684406275,28265438.623856276,0.0,1824057981.9295037,0.717423869505043,912600000.0,0.0
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,1,1,4,7,3,2,5,0,0,6,7,0,0,32694901.094161935,0.0,202461115.38641477,0.001224114296672455,82783545.95987594,0.0,14664899.807581948,6.913891668930555e-05,191385847.09446818,0.00769893104769852,625800000.0,5012.18263042245
