0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,1,4,3,0,8,6,1,2,2,8,10,9,32694901.094161935,0.0,150021884.5331011,0.0,83488559.753747,0.0005279208700469594,28170533.278750785,0.00018328953917804333,245120702.60135943,0.0012018300708236118,321100000.0,1007.9752276743295
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,3,6,3,1,0,0,3,2,0,0,2,2,3,9,1,2,156694536.3998669,0.0,47842699.56310011,0.0,22167818.198803753,0.0,25601278.898059063,2.333645771069062e-05,125583209.59912494,0.0,419100000.0,23.985158897680748
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,7,3,7,7,3,0,0,7,3,5,9,0,2,146588659.25632885,0.0,231526820.5519542,0.0,24198032.45136138,0.0,40445544.25168531,0.0,202634961.4069055,0.04906969639793603,146000000.0,0.0
0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,3,1,2,5,0,0,0,5,4,4,5,6,9,7,6,1,130919728.8845366,0.0,0.0,0.0,95758396.59137589,0.0,52215061.60019758,0.0,138064814.19422042,0.00021162367139760478,952800000.0,127.06904972539793
0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,6,5,2,0,0,2,0,4,0,2,7,0,5,95486976.46933737,0.0,110061574.43848997,0.0,27289359.21258359,0.004399340583724662,18081997.288140487,0.0,229624045.3289771,0.05950037114105615,672100000.0,0.0
0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,3,1,2,2,1,0,7,4,2,0,5,0,2,8,0,1,112429465.54032746,0.0,114065823.89018795,0.0,51760044.33566119,0.0,19742157.81013341,0.0,81222228.2680157,0.0,1285900000.0,0.0
0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,3,1,0,3,0,0,0,3,7,0,0,0,10,82486364.32617709,0.0,87722647.49511826,0.0,0.0,0.0,24227584.784522224,0.0,1122066507.8889031,0.40943781505254123,357700000.0,0.0
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,1,2,1,0,0,0,3,4,4,10,5,10,7,1,2,107385518.6904647,0.0,8145788.450288703,0.00045151571933453474,86806179.74687824,0.0,69616096.59404546,0.0,111952814.85055783,0.0,448200000.0,208.0346280752134
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2,0,1,4,0,0,0,6,0,4,1,3,0,6,6,6,82177854.37813279,0.0,8083812.667083828,0.0005561781627584314,63699598.27434066,0.0,15063068.18035096,0.0,199938800.20415756,0.0031728079150001192,1730800000.0,1405.154435128369
0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,5,2,4,0,0,0,0,5,0,5,0,1,6,0,5,158578444.843904,0.0,8187105.63909195,0.0005698723067746596,41060061.731436595,0.0015785784790186127,18545877.781152677,0.0,182937727.31099778,0.006174684921680848,800900000.0,2796.7323215922893
0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,4,6,2,0,0,0,0,0,4,5,1,0,0,6,172031210.62315285,0.0,42818415.6714978,0.0,0.0,0.0,30908902.6371819,0.0,1154315401.9000728,0.1550173369349024,357700000.0,18730.07551403034
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,3,1,4,5,0,1,2,0,1,4,2,10,77099991.75787257,0.0,151178142.27521777,0.0,52811167.63503672,0.0,17829247.08386115,0.0009755859472674472,505066331.0228393,0.1543518100817952,236500000.0,0.0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9,1,7,5,5,0,0,0,0,3,3,5,6,2,5,224853474.54985982,0.0,129688488.72986558,0.0,0.0,0.0,32206879.78693991,0.00023828328504461302,530365016.526725,0.17383052733999393,146000000.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,7,7,7,0,4,6,4,0,0,7,2,1,89068254.21950817,0.0,283422581.3384405,0.0,99028157.46059398,0.0317500103745324,9695195.36216505,0.0,309726227.1365645,0.0851623627542483,217800000.0,0.0
1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,3,1,6,9,7,1,0,0,0,0,5,2,5,7,0,4,203360186.57803282,0.0,121701716.67461371,0.0,0.0,0.0,33745944.65249044,0.0,94755624.37355235,0.00042324734279520956,1037400000.0,254.13809945079586
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,2,1,2,0,7,0,3,4,5,10,5,10,7,2,1,113429024.97505823,0.0,73315450.27094865,0.0,89836264.45193493,0.0,69616096.59404546,0.0,117129678.78449759,0.000264529589247006,394300000.0,102.28095858578432
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,4,0,2,7,1,3,0,4,0,0,4,1,4,131360360.17522186,0.016543513822934376,121229975.87047109,0.0,45324187.55237766,0.0,9695195.36216505,0.0,338653266.7369377,0.09783740504008456,303800000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,5,1,0,3,3,2,3,0,3,0,6,4,206186162.15825236,0.0,104651657.86617124,0.0,78081587.42151478,0.0,19528261.240953498,5.718798841070712e-05,1150654954.8076603,0.05286007251345784,0.0,34177.8886291934
